,product_id,product_name,label
478,479,Most Wanted Cabernet Sauvignon Red Wine,A
566,567,Malbec Red Wine,D
579,580,Washington State Merlot,G
597,598,Cabernet Sauvignon California,A
836,837,California Merlot,A
926,927,"Cabernet Sauvignon, Central Coast, 2011",H
1344,1345,"Merlot, Alexander Valley, Sonoma County, 2009",G
1689,1690,Platinum Merlot,G
1698,1699,Jumilla Red Wine,C
1716,1717,Very Dry Sherry,C
1915,1916,Merlot Wine,G
2048,2049,Malbec Mendoza,D
2386,2387,Pinot Noir Monterey,F
2418,2419,Bristol Cream Sherry,C
2902,2903,Sweet Red,D
3148,3149,Meritage Wine,A
3214,3215,Coastal Pinot Noir,F
3323,3324,Diablo Cabernet,A
3368,3369,"Pinot Noir, Vin de Pays d'Oc, 2006",F
3460,3461,Organic Mendocino Cabernet Sauvignon,A
3496,3497,"Grape Wine, Delicious Red",E
3631,3632,Kenwood Cabernet Sauvignon Sonoma Valley 750 Ml,A
3744,3745,Cabernet Sauvignon Alexander Valley,A
3827,3828,Midnight California Dark Red Wine Blend,A
3979,3980,Malbec 2013,D
4163,4164,Rioja Tempranillo,C
4236,4237,"Pinot Noir, California, 2011",A
4739,4740,Decoy Red,G
5500,5501,California Cabernet Sauvignon Wine,A
5720,5721,Vintner's Reserve Zinfandel 2012,B
5753,5754,Chianti Riserva Wine,E
5774,5775,"Pinot Noir, California 2010",A
5809,5810,"Chianti Classico, 2006",E
5867,5868,Russian River Valley Reserve Pinot Noir,F
5952,5953,"Zin, Old Vine, Lodi, 2008",B
6057,6058,Cabernet Sauvignon Sonoma County,A
6136,6137,Merlot,G
6523,6524,"Moscato, D'Asti, DOCG, 2011",G
6877,6878,Red Blend,G
6894,6895,Director's Cut Pinot Noir,F
7107,7108,Napa Valley Cabernet Sauvignon,A
7447,7448,Chardonnay Y Block Santa Barbara,F
7698,7699,Cardinal Zin Beastly Old Vines Zinfandel,B
7716,7717,"Red Wine, Dark, California, 2013",A
7890,7891,Pinot Noir California,A
8818,8819,"Stella Rosso, Semi-Sweet",B
8920,8921,"Cabernet Sauvignon, North Coast, 2011",A
9197,9198,Primitivo Red Wine Zinfandel,B
9234,9235,Lambrusco,E
9366,9367,Organic Malbec,D
9472,9473,"Cabernet Sauvignon, California, 2011",A
9615,9616,Diamond Collection Red Label Zinfandel,B
9710,9711,Reserve Shiraz Wine,H
9897,9898,Alexander Valley Reserve Cabernet Sauvignon,A
10418,10419,Coastal Crush Red Central Coast,H
10425,10426,Vintner's Reserve Carbernet Sauvignon,A
10460,10461,Riserva Ducale Chianti Classico,E
10469,10470,B Side Red,A
10701,10702,California Red Wine,A
10950,10951,The Prisoner Blend,H
11036,11037,Rioja Reserva,C
11259,11260,Organic Pinot Noir,F
11292,11293,Crush Red Blend,E
11540,11541,Casillero del Dialblo,B
11877,11878,"Cabernet Sauvignon, Paso Robles, 2012",A
12012,12013,Pinot Noir,F
12349,12350,California Paisano,A
12406,12407,Chianti Classico Tuscany,E
12932,12933,Reserva Malbec Red Wine,D
13161,13162,Russian River Pinot Noir Wine,F
13196,13197,Alexander Valley Cabernet Sauvignon Wine,A
13302,13303,"Pinot Noir, California",A
13594,13595,337 Cabernet Sauvignon Wine,A
13706,13707,Essential Red,G
13997,13998,Sonoma Pinot Noir Wine,F
14019,14020,Cabernet Sauvignon 2015,A
14039,14040,Green Label Syrah Shiraz,H
14059,14060,A Trois Silk Red,F
14347,14348,California Pinot Noir,A
14592,14593,Red Blend Wine,B
14643,14644,"Cabernet Sauvignon, H3 Collection, Horse Heaven Hills",A
14850,14851,Carneros Pinot Noir,F
14974,14975,Syrah Paso Robles,H
15557,15558,Ancient Vines Zinfandel,B
15677,15678,Zinfandel Heritage,B
15765,15766,"Cabernet Sauvignon, California",A
15817,15818,California Petite Sirah,A
16086,16087,"Claret, Black Label, 2006",C
16411,16412,"Merlot Napa Valley, 2004",A
16637,16638,Knights Valley Cabernet Sauvignon,A
17270,17271,"Merlot, California, 2007",A
17391,17392,"Shiraz, South Australia, Vintage 2008",H
17807,17808,Napa Valley Merlot,A
18057,18058,BV Coastal Estates Merlot,G
18473,18474,Maraia Barbera Monferr Italy,E
18535,18536,Sonoma Zinfandel,B
19113,19114,Harvest Red Blend,C
19587,19588,Pinot Noir Marlborough,F
19736,19737,Cabernet Sauvignon California 2008,A
20636,20637,California Collection Cabernet Sauvignon Wine,A
20670,20671,Domaine de Garrigon Cotes du Rhone,H
21070,21071,Sonoma County Cabernet Sauvignon,A
21154,21155,Chianti Classico,E
21508,21509,667 Pinot Noir,F
21711,21712,Fruity Red Sangria,E
21714,21715,Petite Sirah,H
21734,21735,Cabernet Sauvignon California 2007,A
21786,21787,Grand Estates Cabernet Sauvignon,A
21833,21834,"Zinfandel, California, 2010",A
21858,21859,Julia's Vineyard Pinot Noir,F
21947,21948,Pinot Noir Wine,F
21973,21974,Old Vines Zinfandel Wine,B
22282,22283,"Zinfandel, Lodi, California",A
22408,22409,Woodbridge Cabernet Sauvignon,A
22576,22577,Frontera Chardonnay,G
22659,22660,"Cabernet Sauvignon, Vintage 2011",A
22990,22991,Zinfandel Dry Creek,B
23246,23247,Napa Valley Zinfandel Wine,A
23707,23708,Force Of Nature Red Paso Robles,B
24231,24232,Monterey County Pinot Noir,F
24459,24460,Merlot California,A
24479,24480,Chianti Superiore,E
25006,25007,Sin Zin,B
25348,25349,"Cabernet Sauvignon, California, 2006",A
25380,25381,Reserve Pinot Noir,F
25789,25790,Cellar 1879 Red Blend,D
25814,25815,Indian Wells Cabernet Sauvignon Wine,A
25874,25875,"Pinot Noir, Central Coast, 2006",H
25963,25964,Cabernet Sauvignon Paso Robles 2005,A
26226,26227,Old Vine Zinfandel,B
27220,27221,Sangiovese,E
27409,27410,"Merlot, California, 2004",A
27884,27885,Malbec,D
28484,28485,"Cabernet Sauvignon, North Coast, 2012",A
28508,28509,Cabernet,A
29156,29157,Sweet Red Wine,C
29503,29504,Decoy By Duckhorn Merlot,G
29541,29542,Sleepy Hollow Pinot Noir,F
29669,29670,Meritage,A
29785,29786,"Pinot Noir, California, 2010",A
29798,29799,Russian River Pinot Noir,F
30154,30155,7 Deadly Zins,B
30350,30351,Barbera D' Alba,E
30685,30686,California Cabernet Sauvignon,A
30832,30833,Cote Du Rhone Rouge France,C
31254,31255,Sonoma Coast Pinot Noir,F
31678,31679,Zinfandel Wine,B
32062,32063,Rich Red Blend,B
32444,32445,Cabernet Franc,A
32449,32450,Burgundy,C
32786,32787,Tapestry Napa Valley,A
33009,33010,Old Vine Zin,B
33064,33065,Cabernet Sauvignon,A
33189,33190,2013 Zinfandel Red Wine,B
33306,33307,Broquel Malbec,D
33664,33665,California Red Velvet Wine,A
33691,33692,Black,F
33898,33899,Red Wine Blend,C
34538,34539,Napa Reserves Cabernet Sauvignon,A
34711,34712,Incredible Red Zinfandel,B
35329,35330,Santa Cristina Rosso Toscana,E
35986,35987,"Merlot, California 2013",A
36037,36038,"Merlot, Central Coast",H
36046,36047,Los Osos Merlot,G
36172,36173,Shiraz,H
36209,36210,Louis Jadot,E
36268,36269,Reserve Cabernet Sauvignon Wine,A
36271,36272,Kali Hart Pinot Noir,F
36418,36419,Cashmere,C
36438,36439,Grand Reserve Sonoma County Merlot,G
36983,36984,Villa Toscana Wine,E
37038,37039,Shiraz Cabernet,H
37150,37151,Anderson Valley Pinot Noir,F
37235,37236,2003 Bordeaux,G
37729,37730,Vintner's Reserve Syrah Wine,H
38245,38246,Paraduxx Z Red Blend,E
38323,38324,2010,F
38568,38569,Old Vine Zinfandel Wine,B
38709,38710,"Moscato, Red, California",A
38726,38727,"Merlot, Columbia Valley, 2007",G
38835,38836,Starmont Cabernet Sauvignon Napa Valley,A
38971,38972,"Cabernet Sauvignon, Mendoza, Argentina, 2009",A
39117,39118,Rutherford Cabernet Sauvignon Wine,A
39134,39135,Merlot Napa Valley,A
39204,39205,Phantom Red,D
39236,39237,"GSM, Central Coast, Vintage: 2011",H
39349,39350,"Cabernet Sauvignon, California, 2005",A
39546,39547,Tempranillo,C
39932,39933,Protocolo Vino de la Tierra Tinto,C
40035,40036,Sultry Red Bistro Style Wine,B
40110,40111,Garnacha Red Wine,F
40900,40901,Syrah,H
41048,41049,Shiraz Wine,H
41390,41391,Zinfandel,B
41562,41563,Toscana Hillside Vineyards Red,E
41680,41681,Red Blend Winemaker's Blend,F
41881,41882,Cabernet Sauvignon Napa Valley,A
42057,42058,"Cabernet Sauvignon, Central Coast, 2007",H
42328,42329,Private Selection Pinot Noir,F
42552,42553,Central Coast Cabernet Sauvignon,H
42707,42708,Reserve Merlot Wine,G
42737,42738,Shiraz Cabernet Sauvignon Wine,H
43011,43012,Hot To Trot Red Blend,E
43539,43540,Chianti,E
43648,43649,Cabernet Paso Robles,A
43940,43941,"Merlot, California",A
44323,44324,"White Zinfandel, American",B
44452,44453,Terra D'oro Zinfandel Amador County,B
44475,44476,Oregon Pinot Noir,F
44795,44796,Pinot Noir Sonoma Coast,F
44823,44824,Diamond Collection Silver Label Pinot Noir Wine,F
44892,44893,Red,B
45347,45348,Chillable Red House Wine,G
45410,45411,Bordeaux,G
46073,46074,Montepulciano Riserva Red Wine,E
46141,46142,Alexander Valley Cabernet Sauvignon,A
46196,46197,Liar's Dice Zinfandel,B
46388,46389,Cork Dancer Pinot Noir,F
46783,46784,Central Coast Merlot,H
47679,47680,Indian Wells Merlot,G
47794,47795,Red Wine,G
47796,47797,Chianti Wine,E
47859,47860,Avant Red Wine Blend,D
48279,48280,Organic Zero Sulfites Red Wine,D
48281,48282,Garnacha,D
48297,48298,Cotes Des Rose Grenache Cinsault-Syrah,H
48709,48710,"Pinto Noir, Monterey, 2007",F
48933,48934,Concord Grape,F
49291,49292,"Red Wine, Crianza, 2009",D
49419,49420,Non-Alcoholic Cabernet Sauvignon,A
49543,49544,Cabernet Sauvignon Wine,A
49605,49606,Organic Natural Red,G
